created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jun 28 05:19:38 +0000 2023;1673924092129574914;"Mulai 1 Juli 2023, Aplikasi Welma resmi pindah rumah ke myBCA, cek investasi jadi makin praktis karena semua portofolio investasi kini bisa diakses di fitur Welma myBCA!🤩💙  Yuk, segera verifikasi BCA ID &amp  lanjutkan investasi di fitur Welma myBCA, karena Aplikasi Welma tidak… https://t.co/uPUde03KMj";0;0;0;4;in;351429302;1673924092129574914;XpresiBCA;https://twitter.com/XpresiBCA/status/1673924092129574914
Thu Jun 22 11:09:01 +0000 2023;1671837690634076160;"@Rudigesper Selamat malam, @Rudigesper. Apabila Anda berminat, silakan Anda dapat ajukan melalui aplikasi Welma atau website BCA. Info detail silakan cek link: https://t.co/eC0kEJaY3O";0;0;0;0;in;567255514;1666775816431349766;BankBCA;https://twitter.com/BankBCA/status/1671837690634076160
Thu Jun 22 06:12:04 +0000 2023;1671762962238025728;"Mulai 1 Juli 2023, aplikasi Welma tidak dapat diakses. Tapi, Anda tetap bisa akses fitur Welma di myBCA. Jadi, jangan lupa untuk segera aktifkan BCA ID untuk mengakses fitur Welma di myBCA.   Info lebih lanjut bisa baca artikel berikut: https://t.co/apdQjYw5Wx";0;2;0;1;in;567255514;1671762956886085637;BankBCA;https://twitter.com/BankBCA/status/1671762962238025728
Sun Jun 18 02:18:53 +0000 2023;1670254726045401088;"Pengumuman! BCA Setop Operasi Aplikasi Welma Mulai 1 Juli 2023 https://t.co/DDmGVDJzoF";0;0;0;0;in;1668449204744900608;1670254726045401088;MinakMinmo7825;https://twitter.com/MinakMinmo7825/status/1670254726045401088
Sun Jun 18 02:18:47 +0000 2023;1670254700774690816;"Pengumuman! BCA Setop Operasi Aplikasi Welma Mulai 1 Juli 2023 https://t.co/DDmGVDJzoF";0;0;0;0;in;1668449204744900608;1670254700774690816;MinakMinmo7825;https://twitter.com/MinakMinmo7825/status/1670254700774690816
Sun Jun 18 02:16:00 +0000 2023;1670254000413855745;"#Terpopuler Mulai 1 Juli 2023 aplikasi Welma milik PT Bank Central Asia Tbk (BCA) tak bisa lagi diakses. Simak penjelasannya: https://t.co/JBEzIUyWk1";0;1;4;6;in;69183155;1670254000413855745;detikcom;https://twitter.com/detikcom/status/1670254000413855745
Sat Jun 17 17:01:18 +0000 2023;1670114408603824132;"#Terpopuler Mulai 1 Juli 2023 aplikasi Welma milik PT Bank Central Asia Tbk (BCA) tak bisa lagi diakses. Simak penjelasannya: https://t.co/M2FbqwMD0O";0;0;2;0;in;135795460;1670114408603824132;detikfinance;https://twitter.com/detikfinance/status/1670114408603824132
Fri Jun 16 11:35:09 +0000 2023;1669669939966509056;"1. Silakan download aplikasi myBCA Jangan lupa untuk aktivasi BCA ID. Pastikan juga BCA ID yang terdaftar pada aplikasi Welma sama seperti BCA ID pada aplikasi myBCA.";0;1;0;0;in;567255514;1669669913043275776;BankBCA;https://twitter.com/BankBCA/status/1669669939966509056
Thu Jun 15 11:00:02 +0000 2023;1669298717512601602;"Welma tutup → Panik ❌          ↓          →→→→→ Pindah ke myBCA💙  Aktivasi BCA ID dulu yuk!   https://t.co/jqQ6EdH0IF";0;1;1;2;in;351429302;1669298717512601602;XpresiBCA;https://twitter.com/XpresiBCA/status/1669298717512601602
Mon Jun 12 12:19:00 +0000 2023;1668231423478595589;"Mulai 1 Juli 2023 aplikasi Welma milik PT Bank Central Asia Tbk (BCA) tak bisa lagi diakses. https://t.co/JBEzIUyWk1";1;4;14;27;in;69183155;1668231423478595589;detikcom;https://twitter.com/detikcom/status/1668231423478595589
Mon Jun 12 11:00:29 +0000 2023;1668211664989171712;"Mulai 1 Juli 2023 aplikasi Welma milik PT Bank Central Asia Tbk (BCA) tak bisa lagi diakses.  https://t.co/JNsFPdNQVH";0;0;1;0;in;135795460;1668211664989171712;detikfinance;https://twitter.com/detikfinance/status/1668211664989171712
Mon Jun 12 06:04:01 +0000 2023;1668137057741602822;"Aplikasi Welma dari BCA Stop Beroperasi 1 Juli 2023, Apa Sebabnya? https://t.co/myJjfCpVA6";0;0;0;0;in;188438662;1668137057741602822;KompasEkonomi;https://twitter.com/KompasEkonomi/status/1668137057741602822
Mon Jun 12 02:33:06 +0000 2023;1668083976014270464;"Aplikasi Welma BCA (BBCA), baik investasi maupun asuransi, akan setop beroperasi mulai 1 Juli 2023. Ini alasannya! https://t.co/2rP1lKXXJs";0;0;0;0;in;118646322;1668083976014270464;Bisniscom;https://twitter.com/Bisniscom/status/1668083976014270464
Thu Jun 08 08:18:43 +0000 2023;1666721403767500800;"@nicorobin_swan Sangat disayangkan sekali atas kendalanya Ibu @nicorobin_swan. Mohon diinformasikan dahulu untuk lupa password yang dimaksud apakah untuk aplikasi Welma, BCA Sekuritas, Sekuritas lain atau lainnya agar dapat kami infokan sesuai kebutuhan. Tks 🙂 ^Amos";0;0;0;0;in;620977821;1666404461013786629;HaloBCA;https://twitter.com/HaloBCA/status/1666721403767500800
Wed Jun 07 11:21:57 +0000 2023;1666405128709246976;"@nicorobin_swan Sangat disayangkan sekali atas kendalanya Bapak @nicorobin_swan. Mohon diinformasikan dahulu untuk lupa password yang dimaksud apakah untuk aplikasi Welma, BCA Sekuritas, Sekuritas lain atau lainnya agar dapat kami infokan sesuai kebutuhan. Tks :) ^Amos";0;1;0;0;in;620977821;1666404461013786629;HaloBCA;https://twitter.com/HaloBCA/status/1666405128709246976
Tue Jun 06 16:24:19 +0000 2023;1666118834410115072;"@ecommurz sepertinya road map digitalnya agak kurang terarah, mulai dari bca mobile, my bca, welma, semua loginnya beda-beda, CMIIW. mau migrasi dari bca mobile ke my bca aja bingung banget waktu itu minta ke cabang T_T";0;0;0;0;in;1347587191476678660;1666047089653190656;nitewalkpeople;https://twitter.com/nitewalkpeople/status/1666118834410115072
Fri Jun 02 15:25:29 +0000 2023;1664654476228145153;"@zlfaaaa_ itu obligasi tp prantaranya bca, belinya pake aplikasi welma gitu";0;1;0;0;in;1305827761060151296;1664651402927304705;lttadl;https://twitter.com/lttadl/status/1664654476228145153
Tue May 30 18:15:14 +0000 2023;1663610029780639744;"@worksfess belajar kek gini kemana ya, kapan harus jual kapan harus beli, harus cek tiap hari ?? aku daftar welma bca sii gapapa kah ?";0;0;0;0;in;1406646005861281794;1663558393553104896;karufakembala;https://twitter.com/karufakembala/status/1663610029780639744
Sun May 28 17:04:41 +0000 2023;1662867502165286912;"Kabar Gembira! BCA Naikan Limit Transaksi Investasi Hingga 5 Milyar di Aplikasi Welma dan Aplikasi myBCA https://t.co/fMxG7cIQdK";0;0;0;1;in;1628241218617618433;1662867502165286912;Aqilanews;https://twitter.com/Aqilanews/status/1662867502165286912
Thu May 25 22:09:04 +0000 2023;1661856936688775168;"BCA menaikkan limit investasi di aplikasi myBCA dan di aplikasi Welma menjadi Rp5 miliar. https://t.co/02BQlvLWt1";0;0;0;0;in;118646322;1661856936688775168;Bisniscom;https://twitter.com/Bisniscom/status/1661856936688775168
Wed May 24 22:27:50 +0000 2023;1661499271735300096;"@HaloBCA maaf saya mau tanya. Saya telah mengikuti investasi SBN Sukuk pemerintah RI per tanggal 20 Mei 2023 melalui Welma - BCA kenapa saldo investasi saya tidak tertera di aplikasi Welma ?. Dan maaf klu saya ikut investasi sebelumnya seperti di bank BSI dan Bibit lebih cepat";2;6;0;0;in;1556172606071484416;1661499271735300096;PasarTonny;https://twitter.com/PasarTonny/status/1661499271735300096
Fri May 12 03:41:21 +0000 2023;1656867130317619200;"@Shandi_Zein684 Dengan senang hati kami informasikan. Penjualan Sukuk Tabungan seri ST010T2 dan seri ST010T4 Pasar Perdana di BCA secara online melalui aplikasi myBCA mobile, Welma dan KlikBCA Individu. ^Reni";0;0;0;0;in;620977821;1656847506737889282;HaloBCA;https://twitter.com/HaloBCA/status/1656867130317619200
Sun May 07 09:21:07 +0000 2023;1655140697211809792;"@thinkaboutayra @tanyakanrl Bisa instal keduanya sih. Aplikasinya bagus apalagi kalau punya produk lain bca bisa track juga  transaksinya kayak cc atau welma https://t.co/BM4q7YZeb1";0;1;0;0;in;376887329;1654891277606076416;rahmanfais;https://twitter.com/rahmanfais/status/1655140697211809792
Sun May 07 07:38:10 +0000 2023;1655114785271447554;"@Jordysanss Berikut ketentuan transaksi Obligasi Pasar Sekunder melalui aplikasi Welma: - Nasabah memiliki SID dan rekening efek yang terdaftar di sistem BCA. - Waktu layanan transaksi mengikuti waktu layanan cabang dalam melayani transaksi Obligasi Pasar Sekunder. (1/2) ^Alfan";0;0;0;0;in;620977821;1655080746229583873;HaloBCA;https://twitter.com/HaloBCA/status/1655114785271447554
Sun May 07 05:46:04 +0000 2023;1655086577826304000;"@Jordysanss Berikut adalah syarat nasabah yang dapat membeli SR017: • Individu Warga Negara Indonesia (WNI). • Memiliki rekening dana di BCA (tidak joint account) (1)(2) • Memiliki BCA ID dan Password untuk Welma atau memiliki User ID, Password dan Key KlikBCA Individu (KBI). ^Tian";0;0;0;0;in;620977821;1655080746229583873;HaloBCA;https://twitter.com/HaloBCA/status/1655086577826304000
Fri Apr 28 08:58:08 +0000 2023;1651873418927824896;"@sadolairl Dengan senang hati kami informasikan kepada Bapak/Ibu Pelanggan. Welma adalah mobile apps untuk mendapatkan informasi dan bertransaksi Reksa Dana, Obligasi dan Asuransi. Untuk myBCA adalah delivery channel BCA yang dapat diakses nasabah melalui website dan/atau (1/4) ^Amos";0;0;0;0;in;620977821;1651869261735022594;HaloBCA;https://twitter.com/HaloBCA/status/1651873418927824896
Fri Apr 28 08:41:36 +0000 2023;1651869261735022594;"@HaloBCA apa perbedaan Welma, MyBCA, dan BCAsekuritas? Saya mau invest bingung kebanyakan aplikasi nih BCA";8;22;0;0;in;1540963986648494080;1651869261735022594;sadolairl;https://twitter.com/sadolairl/status/1651869261735022594
